Year,Month,Rank,Country,Cores,Rmax (GFlop/s),Rpeak (GFlop/s),Power (kW),Manufacturer,Operating System,Memory,Processor,Rmax (TFlop/s),Rpeak (TFlop/s)
2006,6,4,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2006,6,5,France,"8,704",,,,Atos,Linux,0GB,Itanium2Montecito2C1.6GHz,42.9,55.7
2006,6,6,United States,"9,024",,,,DELLEMC,Linux,0GB,XeonEM64T3.6GHz,38.3,65.0
2006,6,7,Japan,"10,368",,,,NEC/Sun,Linux,0GB,OpteronDualCore2C2.4GHz,38.2,49.9
2006,6,8,Germany,"16,384",,,179,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,37.3,45.9
2006,6,9,United States,"10,880",,,,Cray/HPE,UNICOS/Linux,0GB,Opteron2GHz,36.2,43.5
2006,6,10,Japan,"5,120",,,"3,200",NEC,Super-UX,0GB,NEC1GHz,35.9,41.0
2006,11,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2006,11,2,United States,"26,544",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,101.4,127.4
2006,11,3,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2006,11,4,United States,"12,208",,,"1,992",IBM,AIX,0GB,POWER52C1.9GHz,75.8,92.8
2006,11,5,Spain,"10,240",,,,IBM,Linux,0GB,PowerPC9702C2.3GHz,62.6,94.2
2006,11,6,United States,"9,024",,,,DELLEMC,Linux,0GB,XeonEM64T3.6GHz,53.0,65.0
2006,11,7,France,"9,968",,,,Atos,Linux,0GB,Itanium2Montecito2C1.6GHz,52.8,63.8
2006,11,8,United States,"10,160",,,,HPE,Linux,0GB,Itanium2Montecito2C1.6GHz,51.9,61.0
2006,11,9,Japan,"11,088",,,,NEC/Sun,Linux,0GB,OpteronDualCore2C2.4GHz,47.4,82.1
2006,11,10,United States,"10,424",,,,Cray/HPE,UNICOS/Linux,0GB,OpteronDualCore2C2.6GHz,43.5,54.2
2007,6,1,United States,"131,072",,,"1,433",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,280.6,367.0
2007,6,2,United States,"23,016",,,,Cray/HPE,UNICOS/SUSELinux,0GB,OpteronDualCore2C2.6GHz,101.7,119.3
2007,6,3,United States,"26,544",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,101.4,127.4
2007,6,4,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2007,6,5,United States,"36,864",,,403,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,82.2,103.2
2007,6,6,United States,"12,208",,,"1,992",IBM,AIX,0GB,POWER52C1.9GHz,75.8,92.8
2007,6,7,United States,"32,768",,,358,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,73.0,91.8
2007,6,8,United States,"9,600",,,,DELLEMC,Linux,0GB,XeonE53454C2.33GHz,62.7,89.6
2007,6,9,Spain,"10,240",,,,IBM,Linux,0GB,PowerPC9702C2.3GHz,62.6,94.2
2007,6,10,Germany,"9,728",,,990,HPE,SUSELinuxEnterpriseServer10,0GB,Itanium2Montecito2C1.6GHz,56.5,62.3
2007,11,1,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2007,11,2,Germany,"65,536",,,504,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,167.3,222.8
2007,11,3,United States,"14,336",,,,HPE,SLES10+SGIProPack5,0GB,XeonX53654C3GHz,126.9,172.0
2007,11,4,India,"14,240",,,,HPE,Linux,0GB,XeonX53654C3GHz,117.9,170.9
2007,11,5,Sweden,"13,728",,,,HPE,Linux,0GB,XeonX53554C2.67GHz,102.8,146.4
2007,11,6,United States,"26,569",,,,Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,102.2,127.5
2007,11,7,United States,"23,016",,,,Cray/HPE,UNICOS/SUSELinux,0GB,OpteronDualCore2C2.6GHz,101.7,119.3
2007,11,8,United States,"40,960",,,448,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,91.3,114.7
2007,11,9,United States,"19,320",,,"1,150",Cray/HPE,UNICOS/Linux,0GB,OpteronDualCore2C2.6GHz,85.4,100.5
2007,11,10,United States,"36,864",,,403,IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,82.2,103.2
2008,6,1,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,026.0","1,375.8"
2008,6,2,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2008,6,3,United States,"66,000",,,,Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,463.3,607.2
2008,6,4,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,450.3,557.1
2008,6,5,United States,"62,976",,,"2,000",Sun,Linux,0GB,OpteronQuadCore4C2GHz,326.0,503.8
2008,6,6,United States,"30,976",,,"1,580",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.1GHz,205.0,260.2
2008,6,7,Germany,"65,536",,,504,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,180.0,222.8
2008,6,8,United States,"14,336",,,861,HPE,SLES10+SGIProPack5,0GB,XeonX53654C3GHz,133.2,172.0
2008,6,9,India,"14,384",,,786,HPE,Linux,0GB,XeonX53654C3GHz,132.8,172.6
2008,6,10,France,"40,960",,,315,IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,112.5,139.3
2008,11,1,United States,"129,600",,,"2,483",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,105.0","1,456.7"
2008,11,2,United States,"150,152",,,"6,950",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,"1,059.0","1,381.4"
2008,11,3,United States,"51,200",,,"2,090",HPE,SLES10+SGIProPack5,0GB,XeonE54504C3GHz,487.0,608.8
2008,11,4,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2008,11,5,United States,"66,000",,,,Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,463.3,607.2
2008,11,6,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,450.3,557.1
2008,11,7,United States,"62,976",,,"2,000",Sun,Linux,0GB,OpteronQuadCore4C2.3GHz,433.2,579.4
2008,11,8,United States,"38,642",,,"1,150",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,266.3,355.5
2008,11,9,United States,"30,976",,,"1,580",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.1GHz,205.0,260.2
2008,11,10,United States,"38,208",,,"2,506",Cray/HPE,UNICOS,0GB,OpteronDualCore2C2.4GHz,204.2,284.0
2009,6,1,United States,"129,600",,,"2,483",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,105.0","1,456.7"
2009,6,2,United States,"150,152",,,"6,950",Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,"1,059.0","1,381.4"
2009,6,3,Germany,"294,912",,,"2,268",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,825.5,"1,002.7"
2009,6,4,United States,"51,200",,,"2,090",HPE,SLES10+SGIProPack5,0GB,XeonE54504C3GHz,487.0,608.8
2009,6,5,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2009,6,6,United States,"66,000",,,,Cray/HPE,CNL,0GB,OpteronQuadCore4C2.3GHz,463.3,607.2
2009,6,7,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,458.6,557.1
2009,6,8,United States,"62,976",,,"2,000",Sun,Linux,0GB,OpteronQuadCore4C2.3GHz,433.2,579.4
2009,6,9,United States,"147,456",,,"1,134",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,415.7,501.4
2009,6,10,Germany,"26,304",,,"1,549",Atos,SUSELinux,0GB,XeonX55704C2.93GHz,274.8,308.3
2009,11,1,United States,"224,162",,,"6,950",Cray/HPE,CrayLinuxEnvironment,"598,016GB",Opteron627416C2.2GHz,"1,759.0","2,331.0"
2009,11,2,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,042.0","1,375.8"
2009,11,3,United States,"98,928",,,"3,090",Cray/HPE,Linux,0GB,OpteronSixCore6C2.6GHz,831.7,"1,028.9"
2009,11,4,Germany,"294,912",,,"2,268",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,825.5,"1,002.7"
2009,11,5,China,"71,680",,,,NUDT,Linux,0GB,XeonE55404C2.53GHz,563.1,"1,206.2"
2009,11,6,United States,"56,320",,,"2,348",HPE,SLES10+SGIProPack5,0GB,XeonE54504C3GHz,544.3,673.3
2009,11,7,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2009,11,8,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,458.6,557.1
2009,11,9,United States,"62,976",,,"2,000",Sun,Linux,0GB,OpteronQuadCore4C2.3GHz,433.2,579.4
2009,11,10,United States,"41,616",,,,Sun,CentOS,0GB,XeonX55704C2.93GHz,423.9,487.7
2010,6,1,United States,"224,162",,,"6,950",Cray/HPE,CrayLinuxEnvironment,"598,016GB",Opteron627416C2.2GHz,"1,759.0","2,331.0"
2010,6,2,China,"120,640",,,"2,580",Sugon,Linux,0GB,XeonX56506C2.66GHz,"1,271.0","2,984.3"
2010,6,3,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,042.0","1,375.8"
2010,6,4,United States,"98,928",,,"3,090",Cray/HPE,Linux,0GB,OpteronSixCore6C2.6GHz,831.7,"1,028.9"
2010,6,5,Germany,"294,912",,,"2,268",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,825.5,"1,002.7"
2010,6,6,United States,"81,920",,,"3,096",HPE,Linux,0GB,XeonE54504C3GHz,772.7,973.3
2010,6,7,China,"71,680",,,,NUDT,Linux,0GB,XeonE55404C2.53GHz,563.1,"1,206.2"
2010,6,8,United States,"212,992",,,"2,329",IBM,CNK/SLES9,0GB,PowerPC4402C700MHz,478.2,596.4
2010,6,9,United States,"163,840",,,"1,260",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,458.6,557.1
2010,6,10,United States,"42,440",,,"4,344",Sun,CentOS,0GB,XeonX55704C2.93GHz,433.5,497.4
2010,11,1,China,"186,368",,,"4,040",NUDT,Linux,0GB,XeonX56706C2.93GHz,"2,566.0","4,701.0"
2010,11,2,United States,"224,162",,,"6,950",Cray/HPE,CrayLinuxEnvironment,"598,016GB",Opteron627416C2.2GHz,"1,759.0","2,331.0"
2010,11,3,China,"120,640",,,"2,580",Sugon,Linux,0GB,XeonX56506C2.66GHz,"1,271.0","2,984.3"
2010,11,4,Japan,"73,278",,,"1,399",NEC/HPE,Linux,"90,919GB",XeonX56706C2.93GHz,"1,192.0","2,287.6"
2010,11,5,United States,"153,408",,,"2,910",Cray/HPE,Linux,0GB,Opteron617212C2.1GHz,"1,054.0","1,288.6"
2010,11,6,France,"138,368",,,"4,590",Atos,Linux,0GB,XeonX75608C2.26GHz,"1,050.0","1,254.5"
2010,11,7,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,042.0","1,375.8"
2010,11,8,United States,"98,928",,,"3,090",Cray/HPE,Linux,0GB,OpteronSixCore6C2.6GHz,831.7,"1,028.9"
2010,11,9,Germany,"294,912",,,"2,268",IBM,CNK/SLES9,0GB,PowerPC4504C850MHz,825.5,"1,002.7"
2010,11,10,United States,"107,152",,,"2,950",Cray/HPE,Linux,0GB,Opteron61368C2.4GHz,816.6,"1,028.7"
2011,6,1,Japan,"548,352",,,"9,899",Fujitsu,Linux,0GB,SPARC64VIIIfx8C2GHz,"8,162.0","8,773.6"
2011,6,2,China,"186,368",,,"4,040",NUDT,Linux,0GB,XeonX56706C2.93GHz,"2,566.0","4,701.0"
2011,6,3,United States,"224,162",,,"6,950",Cray/HPE,CrayLinuxEnvironment,"598,016GB",Opteron627416C2.2GHz,"1,759.0","2,331.0"
2011,6,4,China,"120,640",,,"2,580",Sugon,Linux,0GB,XeonX56506C2.66GHz,"1,271.0","2,984.3"
2011,6,5,Japan,"73,278",,,"1,399",NEC/HPE,Linux,"90,919GB",XeonX56706C2.93GHz,"1,192.0","2,287.6"
2011,6,6,United States,"142,272",,,"3,980",Cray/HPE,Linux,0GB,Opteron61368C2.4GHz,"1,110.0","1,365.8"
2011,6,7,United States,"111,104",,,"4,102",HPE,SUSELinuxEnterpriseServer11,"211,968GB",IntelXeonE5-2680v210C2.8GHz,"1,088.0","1,315.3"
2011,6,8,United States,"153,408",,,"2,910",Cray/HPE,Linux,0GB,Opteron617212C2.1GHz,"1,054.0","1,288.6"
2011,6,9,France,"138,368",,,"4,590",Atos,Linux,0GB,XeonX75608C2.26GHz,"1,050.0","1,254.5"
2011,6,10,United States,"122,400",,,"2,345",IBM,Linux,0GB,PowerXCell8i9C3.2GHz,"1,042.0","1,375.8"
2011,11,1,Japan,"705,024",,,"12,660",Fujitsu,Linux,0GB,SPARC64VIIIfx8C2GHz,"10,510.0","11,280.4"
2011,11,2,China,"186,368",,,"4,040",NUDT,Linux,0GB,XeonX56706C2.93GHz,"2,566.0","4,701.0"
2011,11,3,United States,"224,162",,,"6,950",Cray/HPE,CrayLinuxEnvironment,"598,016GB",Opteron627416C2.2GHz,"1,759.0","2,331.0"
2011,11,4,China,"120,640",,,"2,580",Sugon,Linux,0GB,XeonX56506C2.66GHz,"1,271.0","2,984.3"
